S.No	Player Name	Country	Role	Base Price(In Cr)	Tier	Age	Batting Style	Bowling Style	Form	Matches	Runs	Wickets	Average	Strike Rate	Economy	Capped Status	Primary Auction Category	Auction Tags
32	Sai Sudharsan	India	Batter	2	Pro	24	Left-hand bat	Right Arm Leg Break	In Demand	38	1547	0	46.88	141.78	0	Capped	Marquee Players	Marquee Players | Capped Players | Batters
33	Rajat Patidar	India	Batter	2	Pro	32	Right-hand bat	Right Arm Off Spin	In Demand	48	1111	0	29.24	154.31	0	Capped	Marquee Players	Marquee Players | Capped Players | Batters
34	Tilak Varma	India	Batter	2	Pro	23	Left-hand bat	Right Arm Off Spin	In Demand	48	1156	0	34.0	145.36	0	Capped	Marquee Players	Marquee Players | Capped Players | Batters
35	Heinrich Klaasen	South Africa	Wicketkeeper	2	Pro	34	Right-hand bat	N/A	In Demand	52	1625	0	40.63	167.53	0	Capped	Marquee Players	Marquee Players | Capped Players | Wicketkeepers
36	Harshal Patel	India	All-Rounder	1.5	Pro	35	Right-hand bat	Right Arm Medium Fast	Consistent	121	274	151	8.84	117.6	8.87	Capped	All-rounders	Capped Players | All-rounders
37	Axar Patel	India	All-Rounder	2	Pro	32	Left-hand bat	Left Arm Orthodox	In Demand	165	1918	130	21.55	133.75	7.35	Capped	Marquee Players	Marquee Players | Capped Players | All-rounders
38	Prasidh Krishna	India	Bowler	2	Pro	30	Right-hand bat	Right Arm Fast	In Demand	69	9	80	28.94	37.5	8.84	Capped	Bowlers	Capped Players | Bowlers
39	Sunil Narine	West Indies	All-Rounder	2	Pro	37	Left-hand bat	Right Arm Off Spin	In Demand	192	1792	194	17.57	167.01	6.81	Capped	All-rounders	Capped Players | All-rounders
40	Jason Holder	West Indies	All-Rounder	2	Pro	34	Right-hand bat	Right Arm Fast Medium	In Demand	46	259	53	12.33	122.75	8.81	Capped	All-rounders	Capped Players | All-rounders
41	Kuldeep Yadav	India	Bowler	2	Pro	31	Left-hand bat	Left Arm Wrist Spin	In Demand	101	202	105	27.19	86.7	8.09	Capped	Bowlers	Capped Players | Bowlers
42	Dhruv Jurel	India	Wicketkeeper	1.5	Pro	25	Right-hand bat	N/A	In Demand	28	497	0	24.85	151.52	0	Capped	Wicketkeepers	Capped Players | Wicketkeepers
43	Mitchell Marsh	Australia	All-Rounder	2	Pro	34	Right-hand bat	Right Arm Medium Fast	In Demand	58	1356	37	27.12	141.99	8.52	Capped	All-rounders	Capped Players | All-rounders
44	Nitish Kumar Reddy	India	All-Rounder	1.5	Pro	22	Right-hand bat	Right Arm Medium Fast	In Demand	21	465	5	30.99	146.69	11.25	Capped	All-rounders	Capped Players | All-rounders
45	Anrich Nortje	South Africa	Bowler	2	Pro	32	Right-hand bat	Right Arm Fast	In Demand	49	49	61	27.8	98	9.09	Capped	Bowlers	Capped Players | Bowlers
46	Prabhsimran Singh	India	Wicketkeeper	2	Pro	25	Right-hand bat	N/A	In Demand	51	1170	0	23.88	151.36	0	Uncapped	Wicketkeepers	Uncapped Players | Wicketkeepers
47	Naman Dhir	India	All-Rounder	1.5	Pro	26	Right-hand bat	Right Arm Off Spin	In Demand	26	450	0	28.13	177.87	8.77	Uncapped	All-rounders	Uncapped Players | All-rounders
48	Mohit Sharma	India	Bowler	1.25	Pro	37	Right-hand bat	Right Arm Medium	In Demand	120	127	134	26.22	96.95	8.77	Capped	Bowlers	Capped Players | Bowlers
49	Priyansh Arya	India	All-Rounder	2	Pro	24	Left-hand bat	Right Arm Off Spin	In Demand	19	521	0	27.42	183.45	0	Uncapped	All-rounders	Uncapped Players | All-rounders
50	Kartik Tyagi	India	Bowler	2	Pro	25	Right-hand bat	Right Arm Fast	In Demand	24	18	18	46.39	85.71	10.27	Uncapped	Bowlers	Uncapped Players | Bowlers
51	Anshul Kamboj	India	All-Rounder	1.5	Pro	25	Right-hand bat	Right Arm Fast	In Demand	14	42	15	14	116.67	9.68	Uncapped	All-rounders	Uncapped Players | All-rounders
52	Angkrish Raghuvanshi	India	Batter	2	Pro	20	Right-hand bat	Right Arm Leg Break	In Demand	26	618	0	32.53	147.85	0	Uncapped	Batters	Uncapped Players | Batters
53	Vaibhav Suryavanshi	India	Batter	2	Pro	15	Left-hand bat	Left Arm Orthodox	In Demand	10	374	0	37.4	218.71	0	Uncapped	Batters	Uncapped Players | Batters
54	Jake Fraser-Mcgurk	Australia	Batter	2	Pro	24	Right-hand bat	Right Arm Medium	In Demand	15	385	0	25.67	199.48	0	Capped	Marquee Players	Marquee Players | Capped Players | Batters
55	Quinton de Kock	South Africa	Wicketkeeper	2	Pro	33	Left-hand bat	N/A	In Demand	115	3309	0	30.64	134.02	0	Capped	Wicketkeepers	Capped Players | Wicketkeepers
56	Jonny Bairstow	England	Wicketkeeper	2	Pro	36	Right-hand bat	N/A	In Demand	52	1674	0	34.88	146.07	0	Capped	Wicketkeepers	Capped Players | Wicketkeepers
57	Marco Jansen	South Africa	All-Rounder	2	Pro	25	Left-hand bat	Left Arm Fast Medium	Consistent	38	150	38	12.5	107.91	9.31	Capped	All-rounders	Capped Players | All-rounders
58	Steve Smith	Australia	All-Rounder	2	Pro	36	Right-hand bat	Right Arm Leg Break	In Demand	103	2485	0	34.51	128.09	7.80	Capped	All-rounders	Capped Players | All-rounders
59	Aiden Markram	South Africa	Batter	2	Pro	31	Right-hand bat	Right Arm Off Spin	In Demand	60	1518	6	30.98	136.02	0	Capped	Batters	Capped Players | Batters
60	Sherfane Rutherford	West Indies	Batter	1.5	Pro	27	Left-hand bat	Right Arm Medium	Consistent	26	427	1	23.72	140.46	0	Capped	Batters	Capped Players | Batters
61	Dewald Brevis	South Africa	Batter	1.5	Pro	22	Right-hand bat	Right Arm Leg Break	In Demand	16	455	1	28.44	153.2	0	Uncapped	Batters	Uncapped Players | Batters
62	Ryan Rickelton	South Africa	Wicketkeeper	1.5	Pro	29	Left-hand bat	N/A	In Demand	17	486	0	30.38	154.29	0	Capped	Wicketkeepers	Capped Players | Wicketkeepers
63	Nicholas Pooran	West Indies	Wicketkeeper	2	Elite	30	Left-hand bat	N/A	In Demand	93	2315	0	33.07	167.27	0	Capped	Marquee Players	Marquee Players | Capped Players | Wicketkeepers
64	Yuzvendra Chahal	India	Bowler	2	Elite	35	Right-hand bat	Right Arm Leg Break	In Demand	177	37	224	22.68	43.02	7.95	Capped	Marquee Players	Marquee Players | Capped Players | Bowlers
65	Glenn Maxwell	Australia	All-Rounder	2	Elite	37	Right-hand bat	Right Arm Off Spin	In Demand	141	2819	41	23.89	155.15	8.3	Capped	Marquee Players	Marquee Players | Capped Players | All-rounders
66	Mohammad Siraj	India	Bowler	2	Elite	32	Right-hand bat	Right Arm Fast	In Demand	111	112	111	31.22	91.06	8.81	Capped	Marquee Players	Marquee Players | Capped Players | Bowlers
67	Marcus Stoinis	Australia	All-Rounder	2	Elite	36	Right-hand bat	Right Arm Medium	In Demand	112	2035	44	27.88	144.84	9.84	Capped	Marquee Players	Marquee Players | Capped Players | All-rounders
68	Liam Livingstone	England	All-Rounder	2	Pro	32	Right-hand bat	Right Arm Leg Break	Consistent	50	1065	13	25.98	156.16	9.02	Capped	Marquee Players	Marquee Players | Capped Players | All-rounders
69	Shardul Thakur	India	All-Rounder	2	Pro	34	Right-hand bat	Right Arm Medium Fast	In Demand	108	333	111	11.48	138.75	9.49	Capped	Marquee Players	Marquee Players | Capped Players | All-rounders
70	Krunal Pandya	India	All-Rounder	1.5	Pro	35	Left-hand bat	Left Arm Orthodox	In Demand	144	1756	95	22.23	132.43	7.53	Capped	Marquee Players	Marquee Players | Capped Players | All-rounders
71	T. Natarajan	India	Bowler	1	Pro	34	Left-hand bat	Left Arm Fast Medium	In Demand	66	3	71	29.65	60	8.89	Capped	Bowlers	Capped Players | Bowlers
72	Avesh Khan	India	Bowler	1.5	Pro	29	Right-hand bat	Right Arm Fast Medium	In Demand	78	63	90	28.23	157.5	9.15	Capped	Bowlers	Capped Players | Bowlers
73	Ruturaj Gaikwad	India	Batter	2	Elite	29	Right-hand bat	Right Arm Off Spin	Elite	74	2543	0	39.12	137.02	0	Capped	Marquee Players	Marquee Players | Capped Players | Batters
74	Andre Russell	West Indies	All-Rounder	2	Elite	37	Right-hand bat	Right Arm Fast	Elite	140	2651	123	28.2	174.18	9.51	Capped	All-rounders	Capped Players | All-rounders
75	Cameron Green	Australia	All-Rounder	2	Pro	27	Right-hand bat	Right Arm Fast Medium	In Demand	29	707	16	41.58	153.03	9.29	Capped	All-rounders	Capped Players | All-rounders
76	Kane Williamson	New Zealand	Batter	2	Pro	35	Right-hand bat	Right Arm Off Spin	Consistent	79	2128	0	35.47	125.62	0	Capped	Batters	Capped Players | Batters
77	Ravi Bishnoi	India	Bowler	1.5	Pro	25	Right-hand bat	Right Arm Leg Break	In Demand	66	31	76	26.24	75.61	8.17	Capped	Bowlers	Capped Players | Bowlers
78	Nitish Rana	India	All-Rounder	1.5	Pro	32	Left-hand bat	Right Arm Off Spin	In Demand	121	2873	10	27.36	136.03	8.44	Capped	All-rounders	Capped Players | All-rounders
79	David Miller	South Africa	Batter	1.5	Pro	36	Left-hand bat	Right Arm Off Spin	In Demand	144	3139	0	36.5	139.02	0	Capped	Batters	Capped Players | Batters
80	Washington Sundar	India	All-Rounder	1.25	Pro	26	Left-hand bat	Right Arm Off Spin	In Demand	69	588	40	16.8	129.23	7.73	Capped	All-rounders	Capped Players | All-rounders
81	Rahul Tewatia	India	All-Rounder	1		33	Left-hand bat	Leg Break	In Demand	108	1094	32	25.44	137.83	8.51	Uncapped	All-rounders	Uncapped Players | All-rounders
82	Moeen Ali	England	All-Rounder	2	Pro	38	Left-hand bat	Right Arm Off Spin	In Demand	73	1167	41	22.02	139.76	7.23	Capped	All-rounders	Capped Players | All-rounders
83	Mukesh Kumar	India	Bowler	1.25	Pro	32	Right-hand bat	Right Arm Medium Fast	In Demand	35	10	40	30	55.56	10.34	Capped	Bowlers	Capped Players | Bowlers
84	Rahul Tripathi	India	Batter	1.5	Pro	35	Right-hand bat	Right Arm Medium	In Demand	100	2291	0	26.33	137.85	0	Capped	Batters	Capped Players | Batters
85	Prithvi Shaw	India	Batter	1.5	Pro	26	Right-hand bat	Right Arm Off Spin	Developing	79	1892	0	23.95	147.47	0	Capped	Batters	Capped Players | Batters
86	Umesh Yadav	India	Bowler	1.5	Pro	38	Right-hand bat	Right Arm Fast	Consistent	148	208	144	29.83	103.48	8.45	Capped	Bowlers	Capped Players | Bowlers
87	Deepak Hooda	India	All-Rounder	1.25	Pro	30	Right-hand bat	Right Arm Off Spin	In Demand	125	1496	10	17.6	127.65	8.64	Capped	All-rounders	Capped Players | All-rounders
88	Manish Pandey	India	Batter	1.5	Pro	36	Right-hand bat	Right Arm Medium	Consistent	174	3942	0	29.42	121.52	0	Capped	Batters	Capped Players | Batters
89	Shivam Mavi	India	Bowler	1	Pro	27	Right-hand bat	Right Arm Fast	Consistent	32	51	30	31.4	91.07	8.71	Capped	Bowlers	Capped Players | Bowlers
90	Ajinkya Rahane	India	Batter	1.5	Pro	37	Right-hand bat	Right Arm Medium	Consistent	202	5156	1	30.69	125.6	0	Capped	Batters	Capped Players | Batters
91	Piyush Chawla	India	Bowler	1.5	Pro	37	Left-hand bat	Right Arm Leg Spin	Consistent	192	624	192	26.6	110.83	7.96	Capped	Bowlers	Capped Players | Bowlers
92	Nehal Wadhera	India	Batter	1		25	Left-hand bat	Right Arm Leg Spin	In Demand	39	732	0	25.24	141.31	0	Uncapped	Batters	Uncapped Players | Batters
93	Abdul Samad	India	All-Rounder	1		24	Right-hand bat	Right Arm Leg Break	Emerging	66	795	2	19.39	150.28	13.16	Uncapped	All-rounders	Uncapped Players | All-rounders
94	Shakib Al Hasan	Bangladesh	All-Rounder	1.5	Pro	39	Left-hand bat	Left Arm Orthodox	In Demand	71	793	63	19.83	124.49	7.44	Capped	All-rounders	Capped Players | All-rounders
95	Harpreet Brar	India	All-Rounder	1		30	Left-hand bat	Left Arm Orthodox	In Demand	49	244	35	20.33	120.2	8.03	Uncapped	All-rounders	Uncapped Players | All-rounders
96	Ashutosh Sharma	India	All-Rounder	0.75		27	Right-hand bat	Right Arm Off Spin	In Demand	24	393	0	28.07	163.75	0	Uncapped	All-rounders	Uncapped Players | All-rounders
97	Chetan Sakariya	India	Bowler	0.75	Pro	28	Left-hand bat	Left Arm Medium Fast	Consistent	20	20	20	31.9	64.52	8.62	Capped	Bowlers	Capped Players | Bowlers
98	Mitchell Santner	New Zealand	All-Rounder	2	Pro	34	Left-hand bat	Left Arm Orthodox	In Demand	32	128	26	16	109.4	7.31	Capped	All-rounders	Capped Players | All-rounders
99	Jaydev Unadkat	India	Bowler	1.5	Pro	34	Right-hand bat	Left Arm Fast Medium	Consistent	115	201	114	30.39	118.93	8.91	Capped	Bowlers	Capped Players | Bowlers
100	Mustafizur Rahman	Bangladesh	Bowler	2	Pro	30	Left-hand bat	Left Arm Fast Medium	Consistent	60	13	65	28.45	54.17	8.13	Capped	Bowlers	Capped Players | Bowlers
101	Mayank Agarwal	India	Batter	1.5	Pro	35	Right-hand bat	Right Arm Off Spin	In Demand	131	2756	0	22.97	133.53	0	Capped	Batters	Capped Players | Batters
102	Adam Zampa	Australia	Bowler	2	Pro	34	Right-hand bat	Right Arm Leg Spin	In Demand	22	15	31	21.03	62.5	8.38	Capped	Bowlers	Capped Players | Bowlers
103	Ishant Sharma	India	Bowler	1.25	Pro	37	Right-hand bat	Right Arm Fast	In Demand	117	57	97	34.84	82.61	8.36	Capped	Bowlers	Capped Players | Bowlers
104	R. Sai Kishore	India	All-Rounder	1	Pro	29	Left-hand bat	Left Arm Orthodox	In Demand	25	18	32	4.5	112.5	8.86	Capped	All-rounders	Capped Players | All-rounders
105	Sam Billings	England	Wicketkeeper	1.5	Pro	34	Right-hand bat	N/A	In Demand	30	503	0	19.35	129.64	0	Capped	Wicketkeepers	Capped Players | Wicketkeepers
106	Shahbaz Ahamad	India	All-Rounder	1		31	Left-hand bat	Left Arm Orthodox	In Demand	59	560	0	19.31	120.69	0	Uncapped	All-rounders	Uncapped Players | All-rounders
107	Vijay Shankar	India	All-Rounder	1	Pro	35	Right-hand bat	Right Arm Medium	In Demand	78	1233	9	26.23	129.79	8.67	Capped	All-rounders	Capped Players | All-rounders
108	Karn Sharma	India	Bowler	1	Pro	38	Right-hand bat	Right Arm Leg Break	In Demand	90	351	83	26.69	120.21	8.38	Capped	Bowlers	Capped Players | Bowlers
109	Mohammad Nabi	Afghanistan	All-Rounder	1.5	Pro	41	Right-hand bat	Right Arm Off Spin	In Demand	24	215	15	13.44	143.33	7.44	Capped	All-rounders	Capped Players | All-rounders
110	Karun Nair	India	Batter	1	Pro	34	Right-hand bat	Right Arm Off Spin	In Demand	84	1694	0	23.86	131.73	0	Capped	Batters	Capped Players | Batters
111	Mahipal Lomror	India	All-Rounder	0.75		26	Left-hand bat	Left Arm Orthodox	In Demand	40	527	1	18.17	141.29	8.47	Uncapped	All-rounders	Uncapped Players | All-rounders
112	Murugan Ashwin	India	Bowler	0.75		35	Right-hand bat	Right Arm Leg Spin	In Demand	44	35	35	33.2	70	8.01	Uncapped	Bowlers	Uncapped Players | Bowlers
113	Vaibhav Arora	India	Bowler	1		28	Right-hand bat	Right Arm Medium Fast	Elite	36	10	41	28.12	38.46	9.74	Uncapped	Bowlers	Uncapped Players | Bowlers
114	Yash Thakur	India	Bowler	0.75		27	Right-hand bat	Right Arm Medium Fast	In Demand	21	0	25	30.8	0	10.43	Uncapped	Bowlers	Uncapped Players | Bowlers
115	Shreyas Gopal	India	All-Rounder	1		32	Right-hand bat	Right Arm Leg Spin	Consistent	52	180	52	12.86	106.51	8.17	Uncapped	All-rounders	Uncapped Players | All-rounders
116	Manan Vohra	India	Batter	0.75		32	Right-hand bat	Right Arm Medium	Emerging	56	1083	0	22.1	130.64	0	Uncapped	Batters	Uncapped Players | Batters
117	Rasikh Dar	India	Bowler	1		26	Right-hand bat	Right Arm Medium Fast	In Demand	0	0	0	0	0	0	Uncapped	Bowlers	Uncapped Players | Bowlers
118	Robin Minz	India	Wicketkeeper	1		23	Left-hand bat	Right Arm Off Spin	In Demand	2	6	0	3	40	0	Uncapped	Wicketkeepers	Uncapped Players | Wicketkeepers
119	Jamie Overton	England	All-Rounder	1	Pro	32	Right-hand bat	Right Arm Fast	In Demand	5	95	1	95	161.02	13.9	Capped	All-rounders	Capped Players | All-rounders
120	Cooper Connolly	Australia	All-Rounder	1.5	Pro	22	Left-hand bat	Left Arm Orthodox	In Demand	3	108	0	108	163.64	0	Capped	All-rounders	Capped Players | All-rounders
121	Eshan Malinga	Sri Lanka	Bowler	2	Pro	25	Right-hand bat	Right Arm Fast	In Demand	10	0	16	19.81	0	9.14	Uncapped	Bowlers	Uncapped Players | Bowlers
122	Lahiru Kumara	Sri Lanka	Bowler	0.75	Pro	29	Left-hand bat	Right Arm Fast	In Demand	25	0	0	0	0	0	Capped	Bowlers	Capped Players | Bowlers
123	Ayush Mhatre	India	Batter	1		18	Right-hand bat	Right Arm Off Spin	In Demand	0	0	0	0	0	0	Uncapped	Batters	Uncapped Players | Batters
124	Prince Yadav	India	Bowler	1		24	Right-hand bat	Right Arm Medium Fast	In Demand	9	5	8	40.75	50	9.64	Uncapped	Bowlers	Uncapped Players | Bowlers
125	Finn Allen	New Zealand	Batter	2	Pro	26	Right-hand bat	Right Arm Off Spin	In Demand	4	80	0	20	205.13	0	Capped	Batters	Capped Players | Batters
126	Sikandar Raza	Zimbabwe	All-Rounder	1.25	Pro	39	Right-hand bat	Right Arm Off Spin	In Demand	9	182	3	26	133.82	10.07	Capped	All-rounders	Capped Players | All-rounders
127	Aaron Hardie	Australia	All-Rounder	1.25	Pro	27	Right-hand bat	Right Arm Medium Fast	In Demand	0	0	0	0	0	0	Capped	All-rounders	Capped Players | All-rounders
128	Kusal Mendis	Sri Lanka	Wicketkeeper	1.5	Pro	31	Right-hand bat	N/A	In Demand	1	20	0	20	200	0	Capped	Wicketkeepers	Capped Players | Wicketkeepers
129	Donovan Ferreira	South Africa	Wicketkeeper	1	Pro	27	Right-hand bat	Right Arm Off Spin	In Demand	5	10	0	2.5	58.82	0	Capped	Wicketkeepers	Capped Players | Wicketkeepers
130	Keshav Maharaj	South Africa	Bowler	0.75	Pro	36	Left-hand bat	Left Arm Orthodox	In Demand	2	1	2	19.5	50	6.5	Capped	Bowlers	Capped Players | Bowlers
131	Shubham Dubey	India	Batter	0.75		31	Left-hand bat	Right Arm Off Spin	In Demand	13	139	0	23.17	163.53	0	Uncapped	Batters	Uncapped Players | Batters
132	Rachin Ravindra	New Zealand	All-Rounder	1.5	Pro	26	Left-hand bat	Left Arm Orthodox	In Demand	18	413	0	24.29	143.9	3.5	Capped	All-rounders	Capped Players | All-rounders
133	Nuwan Thushara	Sri Lanka	Bowler	0.75	Pro	31	Right-hand bat	Right Arm Fast	In Demand	8	0	9	31.44	0	9.43	Capped	Bowlers	Capped Players | Bowlers
